downstream,PlantDoc,PlantDoc,PlantDataset,PlantDataset,Cassava,Cassava,PlantVillage,PlantVillage
model_name,lr,knn,lr,knn,lr,knn,lr,knn
pre-training,,,,,,,,
Random,13.5±1.9,6.7±1.9,34.6±1.1,17.2±2.2,31.6±0.6,23.9±0.3,70.5±0.1,39.9±0.5
ImageNet SL ,54.7±1.4,37.4±2.4,92.0±0.7,83.8±2.4,62.3±0.5,49.1±0.9,97.3±0.1,92.0±0.3
ImageNet SSL ,11.9±1.8,9.0±2.4,32.0±1.3,22.0±1.7,21.1±0.5,22.8±0.6,50.1±0.1,34.7±0.3
Derma SSL ,1.0±0.0,18.9±3.2,1.8±0.0,30.7±2.7,16.6±0.1,27.8±0.8,6.4±0.1,49.3±0.5
Plant SL,65.3±1.7,41.3±1.5,67.4±0.7,60.5±1.5,51.6±0.3,40.6±1.3,99.1±0.1,98.7±0.2
