,architecture,downstream,pre-training,number_of_samples,model_name,f1_macro_mean,f1_macro_std,f1_macro_count
54,ResNet50,Cassava,PDDD,3,dc,0.01921708185053381,0.0,100
55,ResNet50,Cassava,PDDD,3,knn,0.20069801362716513,0.038356041491574476,100
56,ResNet50,Cassava,PDDD,3,lr,0.2402335013352074,0.038529957320345955,100
57,ResNet50,Cassava,PDDD,30,dc,0.01921708185053381,0.0,100
58,ResNet50,Cassava,PDDD,30,knn,0.23062122526293552,0.03230213224513996,100
59,ResNet50,Cassava,PDDD,30,lr,0.3629232581408282,0.018159346947439033,100
60,ResNet50,Cassava,Random,1,dc,0.01921708185053381,0.0,100
61,ResNet50,Cassava,Random,1,knn,0.1604658464767396,0.03331910044779556,100
62,ResNet50,Cassava,Random,1,lr,0.17094238949739127,0.03634396730228261,100
63,ResNet50,Cassava,Random,10,dc,0.01921708185053381,0.0,100
64,ResNet50,Cassava,Random,10,knn,0.17502069309241627,0.023245849210368427,100
65,ResNet50,Cassava,Random,10,lr,0.21269649681871367,0.019201705507529417,100
66,ResNet50,Cassava,Random,100,dc,0.01921708185053381,0.0,100
67,ResNet50,Cassava,Random,100,knn,0.21337982101476377,0.01805071090027819,100
68,ResNet50,Cassava,Random,100,lr,0.24085504463135193,0.011372610441847508,100
69,ResNet50,Cassava,Random,3,dc,0.01921708185053381,0.0,100
70,ResNet50,Cassava,Random,3,knn,0.1764429455245033,0.026915889404928825,100
71,ResNet50,Cassava,Random,3,lr,0.19317111030238832,0.02601682246066488,100
72,ResNet50,Cassava,Random,30,dc,0.01921708185053381,0.0,100
73,ResNet50,Cassava,Random,30,knn,0.18641711975469125,0.025348493031819883,100
74,ResNet50,Cassava,Random,30,lr,0.22698653849490694,0.014065965155471035,100
75,ViT_T16,Cassava,Derma,1,dc,0.01921708185053381,0.0,100
76,ViT_T16,Cassava,Derma,1,knn,0.21791673544976592,0.04307465352859877,100
77,ViT_T16,Cassava,Derma,1,lr,0.2225213620240347,0.04097867942997905,100
78,ViT_T16,Cassava,Derma,10,dc,0.01921708185053381,0.0,100
79,ViT_T16,Cassava,Derma,10,knn,0.26997183536888625,0.027364487702650455,100
