downstream,DDI,DDI,PAD-UFES-20,PAD-UFES-20,HAM10000,HAM10000,Fitzpatrick17k,Fitzpatrick17k
model_name,lr,knn,lr,knn,lr,knn,lr,knn
pre-training,,,,,,,,
Random,40.5±1.7,53.8±5.4,33.9±3.1,24.9±4.7,22.7±0.9,23.1±1.3,28.5±0.2,41.8±1.2
ImageNet SL,60.8±2.6,60.8±4.7,56.0±1.9,38.1±4.2,54.7±0.9,37.6±0.4,56.6±0.7,64.5±0.4
ImageNet SSL,60.4±3.0,69.6±8.6,55.8±2.3,46.6±3.9,62.2±0.9,43.2±1.0,59.5±0.4,70.6±0.5
ImageNet AR,56.3±3.7,60.4±4.2,50.0±2.0,22.5±4.1,47.0±1.2,23.8±1.1,53.9±0.7,40.8±0.8
Derma SSL,59.0±3.0,56.9±6.0,52.2±2.8,46.0±2.6,61.5±1.0,47.5±0.8,58.7±0.5,69.8±0.4
Plant SSL,62.1±3.9,63.0±7.8,53.3±2.1,46.9±3.0,63.9±0.9,42.9±0.8,58.1±0.6,67.7±0.6
