downstream,DDI,DDI,PAD-UFES-20,PAD-UFES-20,HAM10000,HAM10000,Fitzpatrick17k,Fitzpatrick17k
model_name,lr,knn,lr,knn,lr,knn,lr,knn
pre-training,,,,,,,,
Random,65.8±3.5,55.5±7.7,33.4±2.0,19.7±2.2,33.6±1.2,22.1±1.2,40.0±0.9,41.4±0.5
ImageNet SL ,63.5±4.8,60.0±2.9,57.2±2.9,49.2±2.1,57.1±0.9,40.6±0.9,58.5±0.8,65.8±0.5
ImageNet SSL ,52.3±4.2,55.8±5.9,35.7±2.0,29.7±2.6,30.0±0.7,26.2±1.2,35.6±0.5,44.2±1.0
Derma SSL ,42.6,51.1±2.9,16.0±0.3,35.0±3.6,14.9±0.1,28.5±1.1,29.7±0.1,48.6±1.2
Plant SL,42.0±1.2,56.1±6.8,35.4±2.9,34.6±3.8,31.2±0.6,32.8±0.5,36.3±0.7,51.1±0.7
