downstream,PlantDoc,PlantDoc,PlantDataset,PlantDataset,Cassava,Cassava,PlantVillage,PlantVillage
model_name,lr,knn,lr,knn,lr,knn,lr,knn
pre-training,,,,,,,,
Random,8.9±1.5,9.2±1.7,38.6±1.1,22.0±1.5,26.3±0.3,23.9±1.0,59.4±0.3,36.4±0.3
ImageNet SL,50.1±1.2,35.9±1.9,89.3±0.9,81.7±2.0,58.2±0.5,43.7±1.3,97.1±0.1,94.0±0.3
ImageNet SSL,53.5±1.6,39.3±2.0,93.6±0.8,88.7±1.6,64.4±0.6,50.4±1.2,98.2±0.1,96.0±0.2
ImageNet AR,43.9±2.0,9.6±2.5,79.9±1.5,20.4±3.0,55.8±0.4,24.9±0.7,95.0±0.2,62.2±0.7
Derma SSL,31.4±1.3,24.7±1.5,80.4±0.7,79.6±0.9,54.2±0.5,40.0±0.9,97.8±0.1,96.3±0.2
Plant SSL,54.2±1.8,38.8±1.6,86.7±0.9,87.3±0.9,64.7±0.7,49.8±0.5,99.4±0.0,99.4±0.1
